Hora	Tiempo(nSeg)	ECG(V)							
01:27:58 p. m.	364.00	3.04							
01:27:58 p. m.	365.00	2.86							
01:27:58 p. m.	366.00	2.82							
01:27:58 p. m.	367.00	2.65							
01:27:58 p. m.	368.00	3.04							
01:27:58 p. m.	369.00	2.88							
01:27:58 p. m.	370.00	2.75							
01:27:58 p. m.	371.00	2.76							
01:27:58 p. m.	372.00	2.73							
01:27:58 p. m.	373.00	2.76							
01:27:59 p. m.	374.00	2.81							
01:27:59 p. m.	375.00	2.8							
01:27:59 p. m.	376.00	2.77							
01:27:59 p. m.	377.00	2.76							
01:27:59 p. m.	378.00	2.68							
01:27:59 p. m.	379.00	2.85							
01:27:59 p. m.	380.00	2.72							
01:27:59 p. m.	381.00	2.63							
01:27:59 p. m.	382.00	2.18							
01:27:59 p. m.	383.00	2.63							
01:27:59 p. m.	384.00	1.89							
01:27:59 p. m.	385.00	2.96							
01:27:59 p. m.	386.00	3.02							
01:27:59 p. m.	387.00	2.42							
01:27:59 p. m.	388.00	2.81							
01:27:59 p. m.	389.00	3.03							
01:27:59 p. m.	390.00	2.81							
01:27:59 p. m.	391.00	2.69							
01:27:59 p. m.	392.00	2.8							
01:27:59 p. m.	393.00	2.77							
01:27:59 p. m.	394.00	2.85							
01:27:59 p. m.	395.00	2.83							
01:27:59 p. m.	396.00	2.73							
01:27:59 p. m.	397.00	2.76							
01:27:59 p. m.	398.00	2.82							
01:27:59 p. m.	399.00	2.77							
01:27:59 p. m.	400.00	2.8							
01:27:59 p. m.	401.00	2.89							
01:27:59 p. m.	402.00	2.8							
01:27:59 p. m.	403.00	2.76							
01:27:59 p. m.	404.00	2.78							
01:27:59 p. m.	405.00	2.78							
01:27:59 p. m.	406.00	2.81							
01:27:59 p. m.	407.00	2.81							
01:27:59 p. m.	408.00	2.83							
01:27:59 p. m.	409.00	2.79							
01:27:59 p. m.	410.00	2.84							
01:27:59 p. m.	411.00	2.6							
01:27:59 p. m.	412.00	2.52							
01:27:59 p. m.	413.00	2.58							
01:27:59 p. m.	414.00	1.83							
01:27:59 p. m.	415.00	2.83							
01:27:59 p. m.	416.00	2.4							
01:27:59 p. m.	417.00	2.78							
01:27:59 p. m.	418.00	2.71							
01:27:59 p. m.	419.00	2.24							
01:27:59 p. m.	420.00	2.88							
01:27:59 p. m.	421.00	2.82							
01:28:00 p. m.	422.00	2.79							
01:28:00 p. m.	423.00	2.77							
01:28:00 p. m.	424.00	2.81							
01:28:00 p. m.	425.00	2.72							
01:28:00 p. m.	426.00	2.8							
01:28:00 p. m.	427.00	2.75							
01:28:00 p. m.	428.00	2.96							
01:28:00 p. m.	429.00	2.79							
01:28:00 p. m.	430.00	2.8							
01:28:00 p. m.	431.00	2.83							
01:28:00 p. m.	432.00	2.82							
01:28:00 p. m.	433.00	2.82							
01:28:00 p. m.	434.00	2.81							
01:28:00 p. m.	435.00	2.73							
01:28:00 p. m.	436.00	2.78							
01:28:00 p. m.	437.00	2.87							
01:28:00 p. m.	438.00	2.79							
01:28:00 p. m.	439.00	2.75							
01:28:00 p. m.	440.00	2.74							
01:28:00 p. m.	441.00	2.63							
01:28:00 p. m.	442.00	3.04							
01:28:00 p. m.	443.00	1.99							
01:28:00 p. m.	444.00	2.41							
01:28:00 p. m.	445.00	2.99							
01:28:00 p. m.	446.00	2.7							
01:28:00 p. m.	447.00	2.74							
01:28:00 p. m.	448.00	2.8							
01:28:00 p. m.	449.00	2.99							
01:28:00 p. m.	450.00	2.69							
01:28:00 p. m.	451.00	2.67							
01:28:00 p. m.	452.00	2.76							
01:28:00 p. m.	453.00	2.84							
01:28:00 p. m.	454.00	2.78							
