Hora	Tiempo(nSeg)	ECG(V)							
01:32:23 p. m.	383.00	2.55							
01:32:23 p. m.	384.00	2.5							
01:32:23 p. m.	385.00	2.82							
01:32:23 p. m.	386.00	2.34							
01:32:23 p. m.	387.00	2.71							
01:32:23 p. m.	388.00	2.71							
01:32:23 p. m.	389.00	2.6							
01:32:23 p. m.	390.00	2.79							
01:32:23 p. m.	391.00	2.78							
01:32:23 p. m.	392.00	2.7							
01:32:23 p. m.	393.00	2.7							
01:32:23 p. m.	394.00	3.24							
01:32:23 p. m.	395.00	2.78							
01:32:23 p. m.	396.00	2.88							
01:32:24 p. m.	397.00	2.67							
01:32:24 p. m.	398.00	2.9							
01:32:24 p. m.	399.00	2.74							
01:32:24 p. m.	400.00	2.81							
01:32:24 p. m.	401.00	2.88							
01:32:24 p. m.	402.00	2.84							
01:32:24 p. m.	403.00	2.78							
01:32:24 p. m.	404.00	2.8							
01:32:24 p. m.	405.00	2.71							
01:32:24 p. m.	406.00	2.73							
01:32:24 p. m.	407.00	2.7							
01:32:24 p. m.	408.00	2.86							
01:32:24 p. m.	409.00	3.17							
01:32:24 p. m.	410.00	5							
01:32:24 p. m.	411.00	2.17							
01:32:24 p. m.	412.00	0.18							
01:32:24 p. m.	413.00	3.27							
01:32:24 p. m.	414.00	0							
01:32:24 p. m.	415.00	2.17							
01:32:24 p. m.	416.00	0.3							
01:32:24 p. m.	417.00	3.14							
01:32:24 p. m.	418.00	2.73							
01:32:24 p. m.	419.00	2.77							
01:32:24 p. m.	420.00	2.75							
01:32:24 p. m.	421.00	2.69							
01:32:24 p. m.	422.00	2.73							
01:32:24 p. m.	423.00	2.78							
01:32:24 p. m.	424.00	2.84							
01:32:24 p. m.	425.00	2.72							
01:32:24 p. m.	426.00	2.84							
01:32:24 p. m.	427.00	3.02							
01:32:24 p. m.	428.00	2.62							
01:32:24 p. m.	429.00	2.81							
01:32:24 p. m.	430.00	2.82							
01:32:24 p. m.	431.00	2.71							
01:32:24 p. m.	432.00	2.71							
01:32:24 p. m.	433.00	2.78							
01:32:24 p. m.	434.00	2.58							
01:32:24 p. m.	435.00	2.73							
01:32:24 p. m.	436.00	2.82							
01:32:24 p. m.	437.00	2.61							
01:32:24 p. m.	438.00	2.74							
01:32:24 p. m.	439.00	2.76							
01:32:24 p. m.	440.00	2.86							
01:32:24 p. m.	441.00	2.81							
01:32:24 p. m.	442.00	2.75							
01:32:24 p. m.	443.00	2.73							
01:32:24 p. m.	444.00	2.83							
01:32:25 p. m.	445.00	3.09							
01:32:25 p. m.	446.00	2.66							
01:32:25 p. m.	447.00	3.42							
01:32:25 p. m.	448.00	2.78							
01:32:25 p. m.	449.00	2.76							
01:32:25 p. m.	450.00	3.05							
01:32:25 p. m.	451.00	2.69							
01:32:25 p. m.	452.00	2.84							
01:32:25 p. m.	453.00	2.77							
01:32:25 p. m.	454.00	3.62							
01:32:25 p. m.	455.00	2.1							
01:32:25 p. m.	456.00	0							
01:32:25 p. m.	457.00	5							
01:32:25 p. m.	458.00	2.87							
01:32:25 p. m.	459.00	3.04							
01:32:25 p. m.	460.00	2.84							
01:32:25 p. m.	461.00	2.75							
01:32:25 p. m.	462.00	2.76							
01:32:25 p. m.	463.00	2.69							
01:32:25 p. m.	464.00	2.73							
01:32:25 p. m.	465.00	2.67							
01:32:25 p. m.	466.00	2.68							
01:32:25 p. m.	467.00	2.79							
01:32:25 p. m.	468.00	2.69							
01:32:25 p. m.	469.00	2.44							
01:32:25 p. m.	470.00	2.23							
01:32:25 p. m.	471.00	3.69							
01:32:25 p. m.	472.00	2.39							
01:32:25 p. m.	473.00	2.17							
01:32:25 p. m.	474.00	3.14							
01:32:25 p. m.	475.00	2.39							
01:32:25 p. m.	476.00	0							
01:32:25 p. m.	477.00	3.84							
01:32:25 p. m.	478.00	2.69							
01:32:25 p. m.	479.00	2.7							
01:32:25 p. m.	480.00	2.8							
01:32:25 p. m.	481.00	2.79							
01:32:25 p. m.	482.00	2.82							
01:32:25 p. m.	483.00	2.76							
01:32:25 p. m.	484.00	2.81							
01:32:25 p. m.	485.00	2.83							
01:32:25 p. m.	486.00	2.85							
01:32:25 p. m.	487.00	2.71							
01:32:25 p. m.	488.00	2.7							
01:32:25 p. m.	489.00	2.94							
01:32:25 p. m.	490.00	2.74							
01:32:25 p. m.	491.00	2.72							
01:32:25 p. m.	492.00	2.8							
01:32:26 p. m.	493.00	2.77							
01:32:26 p. m.	494.00	2.75							
01:32:26 p. m.	495.00	2.75							
01:32:26 p. m.	496.00	2.98							
01:32:26 p. m.	497.00	2.83							
01:32:26 p. m.	498.00	2.79							
01:32:26 p. m.	499.00	2.67							
01:32:26 p. m.	500.00	2.75							
01:32:26 p. m.	501.00	2.73							
01:32:26 p. m.	502.00	2.66							
01:32:26 p. m.	503.00	2.82							
01:32:26 p. m.	504.00	2.76							
01:32:26 p. m.	505.00	2.84							
01:32:26 p. m.	506.00	2.85							
01:32:26 p. m.	507.00	3.2							
01:32:26 p. m.	508.00	4.1							
01:32:26 p. m.	509.00	2.78							
01:32:26 p. m.	510.00	2.35							
